Longitud de onda (nm),Intensidad (W/cm^2)
"470nm
","32.48
"
"470nm
","0.00
"
"470nm
","0.23
"
"470nm
","0.02
"
"470nm
","0.00
"
"470nm
","0.25
"
"470nm
","0.02
"
"470nm
","0.00
"
"470nm
","0.30
"
"470nm
","0.01
"
"470nm
","0.00
"
"470nm
","0.35
"
"470nm
","0.01
"
"470nm
","0.00
"
"470nm
","0.38
"
"470nm
","0.00
"
"700nm
","0.03
"
"700nm
","0.02
"
"700nm
","0.00
"
"700nm
","0.01
"
"700nm
","0.02
"
"700nm
","0.00
"
"700nm
","0.01
"
"700nm
","0.01
"
"700nm
","0.00
"
"700nm
","0.01
"
"700nm
","0.01
"
"700nm
","0.00
"
"700nm
","0.01
"
"520nm
","0.01
"
"520nm
","0.01
"
"520nm
","0.04
"
"520nm
","0.03
"
"520nm
","0.01
"
"520nm
","0.05
"
"520nm
","0.03
"
"520nm
","0.01
"
"520nm
","0.05
"
"520nm
","0.02
"
"520nm
","0.02
"
"520nm
","0.05
"
"520nm
","0.02
"
